,f_statistic,p_value,significant
right_knee_angle,851.7952113948512,0.0,True
right_knee_visibility,816.8651882870141,0.0,True
right_hip_angle,801.9037712114539,0.0,True
left_hip_angle,745.420129310885,0.0,True
avg_knee_angle,684.1374712227099,0.0,True
left_knee_x,498.8337334911259,0.0,True
left_knee_angle,470.6812244144561,0.0,True
left_knee_y,365.3477830046061,1.7400182574876774e-272,True
right_knee_y,354.6491560465785,1.2805450993429799e-266,True
right_ankle_z,338.292615492693,1.7628105115513695e-257,True
left_ankle_z,336.09939701727103,3.073289536285315e-256,True
right_knee_z,309.56188514157196,6.621886212512108e-241,True
right_ankle_visibility,296.0668310376419,7.066308847714562e-233,True
left_ankle_x,277.3158510938457,1.895538752284661e-221,True
left_shoulder_y,260.3875638556589,7.630211835339803e-211,True
left_ankle_y,252.50770736865047,8.243352820127388e-206,True
body_center_y,248.99765506577822,1.509248885718736e-203,True
right_ankle_y,241.98777727962454,5.444906531912158e-199,True
right_shoulder_y,236.27261508819265,3.091347431800197e-195,True
right_wrist_x,227.6872965662316,1.5718059041891338e-189,True
nose_y,223.06233296409366,2.0151311842806067e-186,True
left_wrist_x,222.44848034408207,5.23136546192665e-186,True
left_knee_visibility,203.87340497030547,2.896595170304667e-173,True
right_hip_x,198.0905868430536,3.258213347323466e-169,True
left_hip_x,198.0905868430536,3.258213347323466e-169,True
left_shoulder_x,191.85311091281628,8.487450912591412e-165,True
right_shoulder_z,167.6049607358017,3.718397363969026e-147,True
nose_z,164.79790163273478,4.606602520804051e-145,True
right_shoulder_x,162.5722833689843,2.1410061771401356e-143,True
right_ankle_x,145.63894014992928,1.7626718128758695e-130,True
left_wrist_visibility,142.92010394529092,2.2851172332803937e-128,True
body_center_z,131.58925730111298,1.925396431325687e-119,True
right_hip_z,125.43227653288842,1.65291717422702e-114,True
left_hip_z,125.43227653288842,1.65291717422702e-114,True
left_ankle_visibility,115.09035010076721,4.393532237757215e-106,True
right_knee_x,109.60750877293398,1.516810562660058e-101,True
nose_x,99.62911884400212,3.730750838189074e-93,True
right_wrist_visibility,95.47615208411978,1.3044092979335164e-89,True
right_wrist_z,91.7364804245094,2.151726134022575e-86,True
right_elbow_angle,90.24132751522558,4.228669160740544e-85,True
left_shoulder_z,80.29551203339537,2.1623383432016322e-76,True
left_knee_z,77.35210075390398,8.866954535663065e-74,True
left_wrist_z,71.82078236254907,7.993526866701664e-69,True
left_hip_visibility,70.73361943111637,7.648462756792664e-68,True
hip_width,68.68804751953397,5.436655857876531e-66,True
right_hip_visibility,67.45297299330691,7.200333041415338e-65,True
right_hip_y,38.768811340371045,5.962527629251014e-38,True
left_hip_y,38.768811340371045,5.962527629251014e-38,True
right_shoulder_visibility,37.471613794788226,1.0764149351374792e-36,True
right_wrist_y,36.330340049166004,1.3811551116615873e-35,True
left_shoulder_visibility,35.90576164508096,3.574318853018732e-35,True
left_wrist_y,29.835189079772277,3.1287408165170625e-29,True
nose_visibility,28.272062878774573,1.0876755110042982e-27,True
right_hip_acceleration_total,24.86208663330873,2.6736909620922886e-24,True
left_hip_acceleration_total,24.86208663330873,2.6736909620922886e-24,True
left_elbow_angle,20.648330643974628,4.0766200720226187e-20,True
nose_acceleration_total,20.434054878579,6.821435677289173e-20,True
left_hip_velocity_total,19.705371803431603,3.606505520270766e-19,True
right_hip_velocity_total,19.705371803431603,3.606505520270766e-19,True
right_knee_acceleration_total,19.51865150639595,5.598953598479311e-19,True
nose_velocity_total,18.27476355500669,9.726654155560238e-18,True
left_knee_acceleration_total,15.172458439694898,1.2544805607613813e-14,True
right_knee_velocity_total,13.629359746244962,4.389237164577153e-13,True
body_center_x,13.378781379833592,7.788267853208566e-13,True
left_knee_velocity_total,12.814284302771604,2.8765315511400437e-12,True
knee_angle_diff,12.37786590833345,7.835840223692626e-12,True
shoulder_width,1.8785000694975087,0.09496499967894476,False
nose_velocity_x,0.5350854131115476,0.7498379222992733,False
right_knee_velocity_x,0.5113633351373488,0.7678682654486065,False
left_knee_velocity_z,0.4434284750078297,0.8182873202743968,False
right_knee_acceleration_y,0.36450223467916404,0.8730404090874204,False
left_knee_acceleration_y,0.3311423879398264,0.8943553790530394,False
right_knee_velocity_y,0.2781881941836449,0.9252350625116541,False
left_knee_velocity_y,0.2576728423544967,0.9360628453546069,False
right_hip_acceleration_x,0.24984518781495632,0.9400085469316914,False
left_hip_acceleration_x,0.24984518781495632,0.9400085469316914,False
right_knee_velocity_z,0.23029904063805418,0.9493914472358848,False
right_hip_velocity_y,0.2290665531837337,0.9499597772767403,False
left_hip_velocity_y,0.2290665531837337,0.9499597772767403,False
left_hip_velocity_x,0.2097238117121095,0.958502451321192,False
right_hip_velocity_x,0.2097238117121095,0.958502451321192,False
left_hip_velocity_z,0.18386332773825845,0.9687687262880403,False
right_hip_velocity_z,0.18386332773825845,0.9687687262880403,False
right_knee_acceleration_x,0.16665622263952762,0.9748289513299372,False
nose_acceleration_x,0.16103646185476533,0.9766702914681982,False
left_knee_acceleration_z,0.13764795724735687,0.9835842274870207,False
left_knee_angle_velocity,0.1343543437577991,0.9844595219567028,False
left_hip_acceleration_z,0.11825973558135303,0.9883804819514979,False
right_hip_acceleration_z,0.11825973558135303,0.9883804819514979,False
nose_velocity_z,0.09669638588903692,0.9927039492049725,False
nose_velocity_y,0.09433975880765108,0.993111842994924,False
right_knee_angle_velocity,0.06722961040967322,0.9969020749766702,False
left_knee_velocity_x,0.032969338327704135,0.9994455402155216,False
nose_acceleration_y,0.030921345511020746,0.999525941334648,False
right_knee_acceleration_z,0.029552432348163814,0.9995756457590699,False
nose_acceleration_z,0.012736296658377692,0.9999466805150931,False
left_hip_acceleration_y,0.010816215747911985,0.9999644404117212,False
right_hip_acceleration_y,0.010816215747911985,0.9999644404117212,False
left_knee_acceleration_x,0.0013902182361609356,0.9999997858101516,False
torso_lean_angle,,,False
shoulder_angle,,,False
