,count,percentage,lower_bound,upper_bound
right_shoulder_visibility,326.0,17.631151974040023,0.9983014166355135,1.0008732378482816
nose_visibility,319.0,17.252568956192537,0.9890388548374174,1.0064360201358797
left_knee_acceleration_y,290.0,15.96037424325812,-91.09321807345016,91.93060001596405
nose_acceleration_y,288.0,15.850302696752887,-120.23238710070513,119.71250862676779
right_knee_acceleration_y,276.0,15.18987341772152,-79.10906448256814,81.06417366255921
nose_velocity_y,277.0,15.111838516093833,-3.7018251737794214,3.378155656655111
right_knee_velocity_z,275.0,15.002727768685215,-3.351500408550201,3.2839915386287526
left_knee_velocity_y,274.0,14.948172394980904,-2.459452468238602,2.607308157325224
right_hip_velocity_z,272.0,14.839061647572285,-0.5478765216307572,0.5125049051894726
left_hip_velocity_z,272.0,14.839061647572285,-0.5125049051894726,0.5478765216307572
right_knee_acceleration_z,267.0,14.694551458447991,-135.9409109147971,135.0812285172129
right_knee_velocity_y,268.0,14.620840152755047,-2.2337217381230747,2.3398612481351098
left_knee_acceleration_z,263.0,14.474408365437535,-133.61175174252628,137.7228466612346
left_hip_acceleration_z,255.0,14.034122179416622,-19.997305205675467,20.999726940543276
right_hip_acceleration_z,255.0,14.034122179416622,-20.999726940543276,19.997305205675467
right_wrist_visibility,254.0,13.737155219037318,0.6360754668712614,1.188801020383835
left_hip_acceleration_x,242.0,13.318657127132635,-10.610169567198835,10.702731062165576
right_hip_acceleration_x,242.0,13.318657127132635,-10.702731062165576,10.610169567198835
left_knee_velocity_z,237.0,12.92962356792144,-3.590905409190081,3.557360483748233
left_shoulder_visibility,236.0,12.76365603028664,0.9962295889854431,1.0021552443504333
nose_acceleration_z,228.0,12.548156301596036,-199.6621555491849,199.92155558782184
left_knee_x,227.0,12.276906435911302,-0.6083409900818837,0.1359022783786843
left_knee_angle_velocity,217.0,11.838516093835242,-231.7459570939455,234.38052588155864
nose_velocity_z,211.0,11.511183851609383,-5.304774440885611,5.356388123558491
left_hip_acceleration_y,205.0,11.282333516785911,-5.869695437574894,5.92089648381645
right_hip_acceleration_y,205.0,11.282333516785911,-5.92089648381645,5.869695437574894
left_knee_acceleration_x,202.0,11.117226197028069,-30.694044178794897,31.1183158319561
right_hip_velocity_x,203.0,11.074740861974904,-0.38262771607221274,0.38518309860597755
left_hip_velocity_x,203.0,11.074740861974904,-0.38518309860597755,0.38262771607221274
right_knee_z,203.0,10.978907517577069,-1.10813889886317,1.009872384131376
right_knee_acceleration_x,185.0,10.181618051733626,-28.203660259153736,28.475109560765464
right_hip_velocity_y,176.0,9.601745771958537,-0.19549533545028558,0.19923188926148797
left_hip_velocity_y,176.0,9.601745771958537,-0.19923188926148797,0.19549533545028558
right_knee_angle_velocity,174.0,9.492635024549918,-208.641713140884,207.90621397678754
left_knee_velocity_total,174.0,9.492635024549918,-2.933310590825998,7.006334355578638
right_knee_velocity_total,170.0,9.27441352973268,-2.775467436720632,6.540158016430265
right_knee_acceleration_total,166.0,9.135938359933956,-110.88392314143499,253.52156515856598
left_knee_velocity_x,167.0,9.11074740861975,-0.9540153812171404,0.9830501339035469
left_hip_angle,167.0,9.031909140075717,82.67760920095294,212.35020703371754
nose_acceleration_x,163.0,8.970831040176115,-20.71128979461405,20.297425060730713
left_hip_velocity_total,164.0,8.947081287506819,-0.36643531945535457,0.9631432638608914
right_knee_velocity_x,164.0,8.947081287506819,-0.969169383343905,0.9684648681656567
right_hip_velocity_total,164.0,8.947081287506819,-0.36643531945535457,0.9631432638608914
left_knee_z,162.0,8.761492698756085,-1.6243778923596632,1.3689903385607884
left_hip_visibility,159.0,8.599242833964304,0.953798353672028,1.0231400132179256
left_knee_acceleration_total,156.0,8.585580627407815,-126.566906126131,288.3090754049983
nose_velocity_total,154.0,8.40152755046372,-3.863012321039604,9.136158086007333
nose_acceleration_total,146.0,8.035222894881674,-155.27599152744028,356.77902136235093
left_hip_acceleration_total,146.0,8.035222894881674,-14.243303372436854,34.55225410866633
right_hip_acceleration_total,146.0,8.035222894881674,-14.243303372436854,34.55225410866633
nose_velocity_x,147.0,8.01963993453355,-0.7356825372055917,0.7196802218940683
hip_width,145.0,7.842076798269335,0.4821592203797927,0.7457895165137993
shoulder_width,136.0,7.355327203893997,1.0,1.0
left_ankle_x,130.0,7.030827474310438,-0.6037839328218426,0.19915847054031338
right_shoulder_z,123.0,6.652244456462952,-1.550056829289928,0.357838106254953
nose_x,119.0,6.435911303407248,-0.32097790031676693,0.31060717662371984
right_hip_visibility,116.0,6.273661438615467,0.9404145181179049,1.0307844579219816
left_wrist_y,115.0,6.219578150351541,-0.4959139527627622,0.41986456620023216
body_center_x,115.0,6.219578150351541,-0.06793235673058179,0.0704647107473198
right_wrist_y,97.0,5.246078961600865,-0.462573865194034,0.3723059655751324
body_center_z,26.0,1.4061654948620876,-0.8450056920662683,0.36913925961639715
left_elbow_angle,26.0,1.4061654948620876,104.8058323712965,173.65778870234618
left_knee_angle,17.0,0.9194159004867496,45.07836794425192,202.13057822799237
knee_angle_diff,16.0,0.8653326122228232,-8.302288380072156,36.33394585327059
right_elbow_angle,16.0,0.8653326122228232,111.07716049271643,181.73784739061875
left_ankle_visibility,14.0,0.7571660356949702,-0.11656265053898088,0.2693665539845823
right_hip_angle,13.0,0.7030827474310438,68.01406568210241,232.40960879252117
left_shoulder_z,13.0,0.7030827474310438,-1.9381325309108672,1.1765655196815663
left_hip_y,10.0,0.5408328826392644,-0.04928133055785625,0.07365308582291616
right_hip_y,10.0,0.5408328826392644,-0.07365308582291616,0.04928133055785625
avg_knee_angle,8.0,0.4326663061114116,44.91753719631661,214.03428796376969
right_knee_angle,6.0,0.32449972958355866,40.742951008304004,225.49360308864576
left_knee_y,6.0,0.32449972958355866,-3.516008162331968,1.1224212695542923
right_knee_y,6.0,0.32449972958355866,-3.577379914217225,1.1153819393345332
left_wrist_x,5.0,0.2704164413196322,-1.3371159710718887,0.5672104870723282
right_hip_z,5.0,0.2704164413196322,-0.4524594689535948,0.45127567370303634
left_hip_z,5.0,0.2704164413196322,-0.45127567370303634,0.4524594689535948
right_ankle_y,5.0,0.2704164413196322,-6.520096589661185,1.6385724092967748
left_wrist_z,4.0,0.2163331530557058,-3.116252440851335,1.7522252380152883
left_ankle_y,3.0,0.16224986479177933,-6.5508640413323285,1.7884766212938756
body_center_y,2.0,0.1081665765278529,-0.5276934355363905,2.453591963522192
left_ankle_z,2.0,0.1081665765278529,-1.3052160907309625,3.7172752512611917
right_wrist_z,2.0,0.1081665765278529,-3.039289292885069,1.217174547191508
nose_y,2.0,0.1081665765278529,-1.882706448486686,7.173583519771544
left_shoulder_y,2.0,0.1081665765278529,-1.1001100822044731,4.949773507032733
right_shoulder_y,2.0,0.1081665765278529,-1.0408352515961585,4.8994260912023435
right_ankle_x,1.0,0.05408328826392645,-0.4774625323665779,0.8143175935339682
right_ankle_z,1.0,0.05408328826392645,-1.8892366045422744,3.9160578917008033
left_knee_visibility,0.0,0.0,-0.18087400496006012,1.021482452750206
right_knee_x,0.0,0.0,-0.6317183866906066,0.9727779558555671
right_knee_visibility,0.0,0.0,-0.39384233206510544,1.255260057747364
right_hip_x,0.0,0.0,-0.38767092777387235,0.7244995475496432
right_ankle_visibility,0.0,0.0,-0.24938010051846496,0.49147383496165253
left_hip_x,0.0,0.0,-0.7244995475496432,0.38767092777387235
left_wrist_visibility,0.0,0.0,-0.1490239202976229,1.6743353307247166
right_shoulder_x,0.0,0.0,-0.7002147777164813,1.2024558387377162
right_wrist_x,0.0,0.0,-1.245460419232433,1.7697300024770946
shoulder_angle,0.0,0.0,0.0,0.0
left_shoulder_x,0.0,0.0,-1.1910368563180196,0.6647118747103341
nose_z,0.0,0.0,-4.960338729348889,2.6135324418936423
torso_lean_angle,0.0,0.0,0.0,0.0
